sa2_code,sa2_name,dhb,dose1_uptake_perc,dose2_uptake_perc
123000,Ranui North,Waitemata,87.5,72.5
123100,Glenfield West,Waitemata,97.5,87.5
123200,Te Atatu Peninsula North West,Waitemata,92.5,77.5
123300,Glenfield South West,Waitemata,97.5,87.5
123400,Forrest Hill West,Waitemata,97.5,87.5
123500,Wairau Valley ,Waitemata,87.5,72.5
123600,Forrest Hill East,Waitemata,97.5,87.5
123700,Castor Bay,Waitemata,92.5,87.5
123800,Ranui Domain,Waitemata,87.5,72.5
123900,Beach Haven South,Waitemata,92.5,87.5
124000,Glenfield Central,Waitemata,97.5,87.5
124100,Piha,Waitemata,87.5,72.5
124200,Ranui South West,Waitemata,87.5,77.5
124300,Henderson Larnoch,Waitemata,87.5,72.5
124400,Birkdale South,Waitemata,92.5,82.5
124500,Te Atatu Peninsula Central,Waitemata,87.5,77.5
124600,Glenfield East,Waitemata,97.5,87.5
124700,Henderson Valley,Waitemata,87.5,77.5
124800,Te Atatu Peninsula West,Waitemata,92.5,77.5
124900,Henderson Lincoln West,Waitemata,92.5,77.5
125000,Ranui South East,Waitemata,87.5,77.5
125100,Henderson Lincoln East,Waitemata,92.5,77.5
125200,Birkenhead West,Waitemata,92.5,87.5
125300,Te Atatu Peninsula East,Waitemata,92.5,82.5
125400,Milford West,Waitemata,92.5,87.5
125500,Westlake,Waitemata,97.5,87.5
125600,Hillcrest North (Auckland),Waitemata,97.5,87.5
125700,Henderson Lincoln South,Waitemata,92.5,82.5
125800,Hillcrest West (Auckland),Waitemata,92.5,87.5
125900,Milford Central,Waitemata,92.5,87.5
126000,Summerland South,Waitemata,92.5,82.5
126100,Summerland North,Waitemata,92.5,82.5
126200,Hillcrest East (Auckland),Waitemata,97.5,87.5
126300,Chatswood,Waitemata,92.5,87.5
126400,Te Atatu South-Edmonton,Waitemata,87.5,77.5
126500,Birkenhead North,Waitemata,92.5,87.5
126600,Takapuna West,Waitemata,97.5,87.5
126700,Henderson North,Waitemata,87.5,77.5
126800,Takapuna Central,Waitemata,87.5,82.5
126900,Western Heights (Auckland),Waitemata,92.5,82.5
127000,Te Atatu South-Central,Waitemata,92.5,82.5
127100,Northcote Central (Auckland),Waitemata,92.5,82.5
127200,Akoranga,Waitemata,92.5,87.5
127300,Northcote South (Auckland),Waitemata,97.5,87.5
127400,Birkenhead South,Waitemata,97.5,87.5
127500,Henderson Central,Waitemata,87.5,77.5
127600,Waiatarua,Waitemata,92.5,82.5
127700,Te Atatu South-McLeod North,Waitemata,92.5,77.5
127800,Henderson Valley Park,Waitemata,87.5,72.5
